File,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
bu,1995-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
calgary,1994-11-21,16,0,9,22,9,14,11,4,32,163,157,151,153,140,119,198,104,130,121,116,21,32,3,52
calgary,1994-11-22,25,3,4,8,1,18,10,29,56,16,115,81,46,116,193,89,171,131,79,415,48,63,9,27
calgary,1994-11-23,4,7,13,9,9,12,3,29,73,80,157,46,180,162,72,29,100,114,149,93,113,15,29,22
calgary,1994-11-24,18,24,9,0,5,32,28,44,75,86,28,106,65,213,78,108,257,267,61,36,51,26,10,48
calgary,1994-11-25,30,4,6,2,13,4,5,0,53,90,55,50,64,189,112,202,81,171,124,44,8,26,15,1
calgary,1994-11-26,20,21,4,0,3,3,1,0,6,15,23,22,181,65,17,18,22,40,35,44,46,38,26,31
calgary,1994-11-27,21,1,18,5,4,0,11,0,0,3,43,46,20,61,39,56,55,70,23,28,16,37,27,4
calgary,1994-11-28,8,25,2,3,54,12,76,33,43,173,151,65,78,142,60,92,178,52,99,149,40,56,35,34
calgary,1994-11-29,21,20,13,46,3,15,8,7,28,87,113,78,88,120,141,327,294,151,129,158,145,68,76,101
calgary,1994-11-30,49,56,12,2,14,1,39,153,145,160,158,91,308,271,136,84,37,112,53,45,41,69,72,5
calgary,1994-12-01,12,9,13,3,20,1,5,24,36,68,58,36,30,44,62,81,85,109,61,47,30,45,12,101
calgary,1994-12-02,64,38,48,10,22,8,13,30,55,69,73,94,48,82,186,146,110,12,45,36,104,0,15,16
calgary,1994-12-03,31,8,2,4,13,7,3,7,12,15,15,58,47,18,44,50,23,27,15,42,67,73,115,16
calgary,1994-12-04,18,13,52,29,7,1,4,11,21,1,4,11,79,31,21,78,15,26,18,18,34,15,64,20
calgary,1994-12-05,6,14,45,11,18,11,3,21,43,31,62,171,130,57,123,113,252,318,151,51,25,74,42,18
calgary,1994-12-06,18,9,22,24,20,30,22,8,10,163,68,86,75,160,200,186,59,70,41,4,11,29,29,34
calgary,1994-12-07,65,29,12,18,0,29,18,25,22,75,67,120,171,147,136,91,111,40,84,137,40,13,43,31
calgary,1994-12-08,49,91,14,15,32,10,18,44,67,66,70,56,78,70,140,130,171,128,47,54,23,32,37,25
calgary,1994-12-09,13,10,4,14,7,1,17,61,125,45,86,74,141,81,194,154,93,14,68,136,36,28,4,7
calgary,1994-12-10,0,51,29,9,1,1,0,24,1,4,8,47,27,31,9,21,31,56,6,27,22,20,38,26
calgary,1994-12-11,25,5,39,9,0,8,12,0,21,17,39,7,29,53,0,11,50,57,6,17,6,85,18,89
calgary,1994-12-12,99,107,43,15,48,19,2,32,20,163,197,201,114,68,85,96,40,5,128,19,26,145,23,13
calgary,1994-12-13,16,23,52,29,25,24,79,90,54,35,71,88,68,74,107,130,197,235,106,63,151,48,11,28
calgary,1994-12-14,15,26,0,0,9,26,1,2,104,155,67,49,63,142,120,63,104,90,78,28,42,20,48,13
calgary,1994-12-15,11,38,35,8,28,12,53,6,11,45,92,90,57,49,29,89,85,59,64,52,99,63,62,12
calgary,1994-12-16,18,14,14,31,2,24,33,4,26,84,78,31,0,1,95,157,54,80,18,56,114,90,29,18
calgary,1994-12-17,27,38,15,15,0,30,5,10,59,161,37,117,33,18,47,60,49,136,31,33,42,96,13,71
calgary,1994-12-18,85,19,7,30,0,24,24,1,51,46,59,78,176,122,60,65,43,82,18,36,22,22,17,15
calgary,1994-12-19,76,39,13,19,1,1,45,38,81,89,105,136,87,74,65,229,222,311,102,7,17,13,59,11
calgary,1994-12-20,86,39,5,23,10,17,6,61,67,51,84,49,99,107,131,30,107,44,22,43,57,25,51,35
calgary,1994-12-21,21,24,18,0,22,8,10,18,60,83,87,44,60,89,89,116,127,66,59,55,27,7,20,8
