Date,Day,File,Cluster
2023-05-28,Sunday,wikipedia,0
2023-06-04,Sunday,wikipedia,0
2023-06-11,Sunday,wikipedia,0
2023-06-18,Sunday,wikipedia,0
2023-06-25,Sunday,wikipedia,1
2023-07-02,Sunday,wikipedia,0
2023-07-09,Sunday,wikipedia,0
2023-07-16,Sunday,wikipedia,0
2023-07-23,Sunday,wikipedia,1
2023-07-30,Sunday,wikipedia,0
2023-08-06,Sunday,wikipedia,0
2023-08-13,Sunday,wikipedia,0
2023-08-20,Sunday,wikipedia,2
2023-08-27,Sunday,wikipedia,2
2023-09-03,Sunday,wikipedia,0
2007-05-27,Sunday,youtube,1
2007-06-10,Sunday,youtube,2
2007-06-17,Sunday,youtube,1
2007-06-24,Sunday,youtube,2
2007-09-16,Sunday,youtube,1
2007-09-23,Sunday,youtube,2
2008-02-03,Sunday,youtube,1
2008-02-10,Sunday,youtube,2
2008-02-17,Sunday,youtube,0
2008-03-16,Sunday,youtube,1
2008-03-23,Sunday,youtube,0
