Date,Day,File,Cluster
2018-05-03,Thursday,madrid,2
2018-05-04,Friday,madrid,2
2018-05-05,Saturday,madrid,2
2018-05-06,Sunday,madrid,2
2018-05-07,Monday,madrid,2
2018-05-08,Tuesday,madrid,2
2018-05-09,Wednesday,madrid,2
2018-05-10,Thursday,madrid,2
2018-05-11,Friday,madrid,2
2018-05-12,Saturday,madrid,2
2018-05-13,Sunday,madrid,2
2018-05-14,Monday,madrid,2
2018-05-15,Tuesday,madrid,2
2018-05-16,Wednesday,madrid,2
2018-05-17,Thursday,madrid,2
2018-05-18,Friday,madrid,2
2018-05-19,Saturday,madrid,2
2018-05-20,Sunday,madrid,2
2018-05-21,Monday,madrid,2
2018-05-22,Tuesday,madrid,2
2018-05-23,Wednesday,madrid,2
2018-05-24,Thursday,madrid,2
2018-05-25,Friday,madrid,2
2018-05-26,Saturday,madrid,2
2018-05-27,Sunday,madrid,2
2018-05-28,Monday,madrid,2
2018-05-29,Tuesday,madrid,2
1995-07-01,Saturday,nasa,1
1995-07-02,Sunday,nasa,0
1995-07-03,Monday,nasa,2
1995-07-04,Tuesday,nasa,2
1995-07-05,Wednesday,nasa,2
1995-07-06,Thursday,nasa,2
1995-07-07,Friday,nasa,2
1995-07-08,Saturday,nasa,1
1995-07-09,Sunday,nasa,0
1995-07-10,Monday,nasa,2
1995-07-11,Tuesday,nasa,2
1995-07-12,Wednesday,nasa,2
1995-07-13,Thursday,nasa,2
1995-07-14,Friday,nasa,2
1995-07-15,Saturday,nasa,0
1995-07-16,Sunday,nasa,0
1995-07-17,Monday,nasa,2
1995-07-18,Tuesday,nasa,2
1995-07-19,Wednesday,nasa,2
1995-07-20,Thursday,nasa,2
1995-07-21,Friday,nasa,2
1995-07-22,Saturday,nasa,2
1995-07-23,Sunday,nasa,0
1995-07-24,Monday,nasa,2
1995-07-25,Tuesday,nasa,2
1995-07-26,Wednesday,nasa,2
1995-07-27,Thursday,nasa,2
1995-07-28,Friday,nasa,2
1995-08-01,Tuesday,nasa,2
1995-08-02,Wednesday,nasa,1
1995-08-03,Thursday,nasa,0
1995-08-04,Friday,nasa,2
1995-08-05,Saturday,nasa,0
1995-08-06,Sunday,nasa,1
1995-08-07,Monday,nasa,2
1995-08-08,Tuesday,nasa,2
1995-08-09,Wednesday,nasa,2
1995-08-10,Thursday,nasa,2
1995-08-11,Friday,nasa,2
1995-08-12,Saturday,nasa,0
1995-08-13,Sunday,nasa,0
1995-08-14,Monday,nasa,2
1995-08-15,Tuesday,nasa,2
1995-08-16,Wednesday,nasa,2
1995-08-17,Thursday,nasa,2
1995-08-18,Friday,nasa,2
1995-08-19,Saturday,nasa,0
1995-08-20,Sunday,nasa,0
1995-08-21,Monday,nasa,2
1995-08-22,Tuesday,nasa,2
1995-08-23,Wednesday,nasa,2
1995-08-24,Thursday,nasa,2
1995-08-25,Friday,nasa,2
1995-08-26,Saturday,nasa,0
1995-08-27,Sunday,nasa,1
1995-08-28,Monday,nasa,2
1995-08-29,Tuesday,nasa,2
1995-08-30,Wednesday,nasa,2
1995-08-31,Thursday,nasa,2
2015-05-03,Sunday,retailrocket,0
2015-05-04,Monday,retailrocket,1
2015-05-05,Tuesday,retailrocket,1
2015-05-06,Wednesday,retailrocket,1
2015-05-07,Thursday,retailrocket,1
2015-05-08,Friday,retailrocket,1
2015-05-09,Saturday,retailrocket,1
2015-05-10,Sunday,retailrocket,1
2015-05-11,Monday,retailrocket,1
2015-05-12,Tuesday,retailrocket,1
2015-05-13,Wednesday,retailrocket,1
2015-05-14,Thursday,retailrocket,1
2015-05-15,Friday,retailrocket,1
2015-05-16,Saturday,retailrocket,1
2015-05-17,Sunday,retailrocket,1
2015-05-18,Monday,retailrocket,1
2015-05-19,Tuesday,retailrocket,1
2015-05-20,Wednesday,retailrocket,1
2015-05-21,Thursday,retailrocket,1
2015-05-22,Friday,retailrocket,1
2015-05-23,Saturday,retailrocket,1
2015-05-24,Sunday,retailrocket,1
2015-05-25,Monday,retailrocket,1
2015-05-26,Tuesday,retailrocket,1
2015-05-27,Wednesday,retailrocket,1
2015-05-28,Thursday,retailrocket,1
2015-05-29,Friday,retailrocket,1
2015-05-30,Saturday,retailrocket,1
2015-05-31,Sunday,retailrocket,1
2015-06-01,Monday,retailrocket,1
2015-06-02,Tuesday,retailrocket,1
2015-06-03,Wednesday,retailrocket,1
2015-06-04,Thursday,retailrocket,1
2015-06-05,Friday,retailrocket,1
2015-06-06,Saturday,retailrocket,1
2015-06-07,Sunday,retailrocket,1
2015-06-08,Monday,retailrocket,1
2015-06-09,Tuesday,retailrocket,1
2015-06-10,Wednesday,retailrocket,1
2015-06-11,Thursday,retailrocket,1
2015-06-12,Friday,retailrocket,1
2015-06-13,Saturday,retailrocket,1
2015-06-14,Sunday,retailrocket,1
2015-06-15,Monday,retailrocket,1
2015-06-16,Tuesday,retailrocket,1
2015-06-17,Wednesday,retailrocket,1
2015-06-18,Thursday,retailrocket,1
2015-06-19,Friday,retailrocket,1
2015-06-20,Saturday,retailrocket,1
2015-06-21,Sunday,retailrocket,1
2015-06-22,Monday,retailrocket,1
2015-06-23,Tuesday,retailrocket,1
2015-06-24,Wednesday,retailrocket,1
2015-06-25,Thursday,retailrocket,1
2015-06-26,Friday,retailrocket,1
2015-06-27,Saturday,retailrocket,1
2015-06-28,Sunday,retailrocket,1
2015-06-29,Monday,retailrocket,1
2015-06-30,Tuesday,retailrocket,1
2015-07-01,Wednesday,retailrocket,1
2015-07-02,Thursday,retailrocket,1
2015-07-03,Friday,retailrocket,1
2015-07-04,Saturday,retailrocket,1
2015-07-05,Sunday,retailrocket,1
2015-07-06,Monday,retailrocket,1
2015-07-07,Tuesday,retailrocket,1
2015-07-08,Wednesday,retailrocket,1
2015-07-09,Thursday,retailrocket,1
2015-07-10,Friday,retailrocket,1
2015-07-11,Saturday,retailrocket,1
2015-07-12,Sunday,retailrocket,1
2015-07-13,Monday,retailrocket,1
2015-07-14,Tuesday,retailrocket,1
2015-07-15,Wednesday,retailrocket,1
2015-07-16,Thursday,retailrocket,1
2015-07-17,Friday,retailrocket,1
2015-07-18,Saturday,retailrocket,1
2015-07-19,Sunday,retailrocket,1
2015-07-20,Monday,retailrocket,1
2015-07-21,Tuesday,retailrocket,1
2015-07-22,Wednesday,retailrocket,1
2015-07-23,Thursday,retailrocket,1
2015-07-24,Friday,retailrocket,1
2015-07-25,Saturday,retailrocket,1
2015-07-26,Sunday,retailrocket,1
2015-07-27,Monday,retailrocket,1
2015-07-28,Tuesday,retailrocket,1
2015-07-29,Wednesday,retailrocket,1
2015-07-30,Thursday,retailrocket,1
2015-07-31,Friday,retailrocket,1
2015-08-01,Saturday,retailrocket,1
2015-08-02,Sunday,retailrocket,1
2015-08-03,Monday,retailrocket,1
2015-08-04,Tuesday,retailrocket,1
2015-08-05,Wednesday,retailrocket,1
2015-08-06,Thursday,retailrocket,1
2015-08-07,Friday,retailrocket,1
2015-08-08,Saturday,retailrocket,1
2015-08-09,Sunday,retailrocket,1
2015-08-10,Monday,retailrocket,1
2015-08-11,Tuesday,retailrocket,1
2015-08-12,Wednesday,retailrocket,1
2015-08-13,Thursday,retailrocket,1
2015-08-14,Friday,retailrocket,1
2015-08-15,Saturday,retailrocket,1
2015-08-16,Sunday,retailrocket,1
2015-08-17,Monday,retailrocket,1
2015-08-18,Tuesday,retailrocket,1
2015-08-19,Wednesday,retailrocket,1
2015-08-20,Thursday,retailrocket,1
2015-08-21,Friday,retailrocket,1
2015-08-22,Saturday,retailrocket,1
2015-08-23,Sunday,retailrocket,1
2015-08-24,Monday,retailrocket,1
2015-08-25,Tuesday,retailrocket,1
