Datetime,Value
2018-05-26 05:00:00,8342
2018-05-26 06:00:00,9821
2018-05-26 07:00:00,11562
2018-05-26 08:00:00,11827
2018-05-26 09:00:00,12833
2018-05-26 10:00:00,13354
2018-05-26 11:00:00,15350
2018-05-26 12:00:00,12003
2018-05-26 13:00:00,12887
2018-05-26 14:00:00,16456
2018-05-26 15:00:00,12325
2018-05-26 16:00:00,12087
2018-05-26 17:00:00,11772
2018-05-26 18:00:00,8958
2018-05-26 19:00:00,12083
2018-05-26 20:00:00,10289
2018-05-26 21:00:00,10250
2018-05-26 22:00:00,11619
2018-05-26 23:00:00,8903
2018-05-27 00:00:00,7626
2018-05-27 01:00:00,7002
2018-05-27 02:00:00,6722
2018-05-27 03:00:00,10105
2018-05-27 04:00:00,9482
2018-05-27 05:00:00,6695
2018-05-27 06:00:00,9529
2018-05-27 07:00:00,10735
2018-05-27 08:00:00,10125
2018-05-27 09:00:00,15309
2018-05-27 10:00:00,13706
2018-05-27 11:00:00,12314
2018-05-27 12:00:00,12723
2018-05-27 13:00:00,13973
2018-05-27 14:00:00,16360
2018-05-27 15:00:00,11927
2018-05-27 16:00:00,11613
2018-05-27 17:00:00,10780
2018-05-27 18:00:00,9320
2018-05-27 19:00:00,9507
2018-05-27 20:00:00,10309
2018-05-27 21:00:00,7278
2018-05-27 22:00:00,8247
2018-05-27 23:00:00,7062
2018-05-28 00:00:00,5677
2018-05-28 01:00:00,5173
2018-05-28 02:00:00,6150
2018-05-28 03:00:00,7551
2018-05-28 04:00:00,8897
2018-05-28 05:00:00,8624
2018-05-28 06:00:00,6400
2018-05-28 07:00:00,9952
2018-05-28 08:00:00,10044
2018-05-28 09:00:00,12486
2018-05-28 10:00:00,12409
2018-05-28 11:00:00,13071
2018-05-28 12:00:00,12315
2018-05-28 13:00:00,12212
2018-05-28 14:00:00,12354
2018-05-28 15:00:00,11233
2018-05-28 16:00:00,12713
2018-05-28 17:00:00,10424
2018-05-28 18:00:00,9506
2018-05-28 19:00:00,10095
2018-05-28 20:00:00,9402
2018-05-28 21:00:00,8580
2018-05-28 22:00:00,8336
2018-05-28 23:00:00,7241
2018-05-29 00:00:00,6979
2018-05-29 01:00:00,6719
2018-05-29 02:00:00,5434
2018-05-29 03:00:00,7227
2018-05-29 04:00:00,8369
2018-05-29 05:00:00,6599
2018-05-29 06:00:00,9302
2018-05-29 07:00:00,8861
2018-05-29 08:00:00,11262
2018-05-29 09:00:00,12477
2018-05-29 10:00:00,13869
2018-05-29 11:00:00,11778
2018-05-29 12:00:00,12907
2018-05-29 13:00:00,14173
2018-05-29 14:00:00,11875
2018-05-29 15:00:00,11693
2018-05-29 16:00:00,12217
2018-05-29 17:00:00,8221
2018-05-29 18:00:00,10864
2018-05-29 19:00:00,9705
2018-05-29 20:00:00,9950
2018-05-29 21:00:00,8173
2018-05-29 22:00:00,7913
2018-05-29 23:00:00,7717
